,Name,Industry,paid_leave_weeks_woman,unpaid_leave_weeks_woman,paid_leave_weeks_man,unpaid_leave_weeks_man
477,ZestFinance,Finance: Loans,24.0,,,
478,World First,Services: Other,24.0,4.0,2.0,
479,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
480,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
481,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
482,Army (British),Government: Federal,39.0,13.0,2.0,
483,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
484,Zurich,Insurance: Life,29.0,,0.0,
485,Etsy,Technology: Consumer Internet,26.0,,26.0,
486,Spotify,Technology: Consumer Internet,26.0,,26.0,
487,Adobe Systems,Technology: Software,26.0,6.0,10.0,
488,AO.com,Retail: Online,26.0,,,
489,Morrison & Foerster LLP,Law Firm,26.0,,,
490,Organizer Inc.,Technology: Software,26.0,,,
491,Worldpay,Technology: Payments,26.0,,,
492,Zynga,Technology: Gaming,26.0,12.0,12.0,
493,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
494,72andsunny,Advertising,24.0,,4.0,
495,Motorola Mobility,Technology: Manufacturing,24.0,,,
496,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
497,ZestFinance,Finance: Loans,24.0,,,
498,World First,Services: Other,24.0,4.0,2.0,
499,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
500,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
501,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
502,Army (British),Government: Federal,39.0,13.0,2.0,
503,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
504,Zurich,Insurance: Life,29.0,,0.0,
505,Etsy,Technology: Consumer Internet,26.0,,26.0,
506,Spotify,Technology: Consumer Internet,26.0,,26.0,
507,Adobe Systems,Technology: Software,26.0,6.0,10.0,
508,AO.com,Retail: Online,26.0,,,
509,Morrison & Foerster LLP,Law Firm,26.0,,,
510,Organizer Inc.,Technology: Software,26.0,,,
511,Worldpay,Technology: Payments,26.0,,,
512,Zynga,Technology: Gaming,26.0,12.0,12.0,
513,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
514,72andsunny,Advertising,24.0,,4.0,
515,Motorola Mobility,Technology: Manufacturing,24.0,,,
516,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
517,ZestFinance,Finance: Loans,24.0,,,
518,World First,Services: Other,24.0,4.0,2.0,
519,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
520,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
521,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
522,Army (British),Government: Federal,39.0,13.0,2.0,
523,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
524,Zurich,Insurance: Life,29.0,,0.0,
525,Etsy,Technology: Consumer Internet,26.0,,26.0,
526,Spotify,Technology: Consumer Internet,26.0,,26.0,
527,Adobe Systems,Technology: Software,26.0,6.0,10.0,
528,AO.com,Retail: Online,26.0,,,
529,Morrison & Foerster LLP,Law Firm,26.0,,,
530,Organizer Inc.,Technology: Software,26.0,,,
531,Worldpay,Technology: Payments,26.0,,,
532,Zynga,Technology: Gaming,26.0,12.0,12.0,
533,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
534,72andsunny,Advertising,24.0,,4.0,
535,Motorola Mobility,Technology: Manufacturing,24.0,,,
536,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
537,ZestFinance,Finance: Loans,24.0,,,
538,World First,Services: Other,24.0,4.0,2.0,
539,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
540,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
541,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
542,Army (British),Government: Federal,39.0,13.0,2.0,
543,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
544,Zurich,Insurance: Life,29.0,,0.0,
545,Etsy,Technology: Consumer Internet,26.0,,26.0,
546,Spotify,Technology: Consumer Internet,26.0,,26.0,
547,Adobe Systems,Technology: Software,26.0,6.0,10.0,
548,AO.com,Retail: Online,26.0,,,
549,Morrison & Foerster LLP,Law Firm,26.0,,,
550,Organizer Inc.,Technology: Software,26.0,,,
551,Worldpay,Technology: Payments,26.0,,,
552,Zynga,Technology: Gaming,26.0,12.0,12.0,
553,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
554,72andsunny,Advertising,24.0,,4.0,
555,Motorola Mobility,Technology: Manufacturing,24.0,,,
556,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
557,ZestFinance,Finance: Loans,24.0,,,
558,World First,Services: Other,24.0,4.0,2.0,
559,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
560,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
561,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
562,Army (British),Government: Federal,39.0,13.0,2.0,
563,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
564,Zurich,Insurance: Life,29.0,,0.0,
565,Etsy,Technology: Consumer Internet,26.0,,26.0,
566,Spotify,Technology: Consumer Internet,26.0,,26.0,
567,Adobe Systems,Technology: Software,26.0,6.0,10.0,
568,AO.com,Retail: Online,26.0,,,
569,Morrison & Foerster LLP,Law Firm,26.0,,,
570,Organizer Inc.,Technology: Software,26.0,,,
571,Worldpay,Technology: Payments,26.0,,,
572,Zynga,Technology: Gaming,26.0,12.0,12.0,
573,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
574,72andsunny,Advertising,24.0,,4.0,
575,Motorola Mobility,Technology: Manufacturing,24.0,,,
576,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
577,ZestFinance,Finance: Loans,24.0,,,
578,World First,Services: Other,24.0,4.0,2.0,
579,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
580,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
581,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
582,Army (British),Government: Federal,39.0,13.0,2.0,
583,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
584,Zurich,Insurance: Life,29.0,,0.0,
585,Etsy,Technology: Consumer Internet,26.0,,26.0,
586,Spotify,Technology: Consumer Internet,26.0,,26.0,
587,Adobe Systems,Technology: Software,26.0,6.0,10.0,
588,AO.com,Retail: Online,26.0,,,
589,Morrison & Foerster LLP,Law Firm,26.0,,,
590,Organizer Inc.,Technology: Software,26.0,,,
591,Worldpay,Technology: Payments,26.0,,,
592,Zynga,Technology: Gaming,26.0,12.0,12.0,
593,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
594,72andsunny,Advertising,24.0,,4.0,
595,Motorola Mobility,Technology: Manufacturing,24.0,,,
596,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
597,ZestFinance,Finance: Loans,24.0,,,
598,World First,Services: Other,24.0,4.0,2.0,
599,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
600,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
601,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
602,Army (British),Government: Federal,39.0,13.0,2.0,
603,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
604,Zurich,Insurance: Life,29.0,,0.0,
605,Etsy,Technology: Consumer Internet,26.0,,26.0,
606,Spotify,Technology: Consumer Internet,26.0,,26.0,
607,Adobe Systems,Technology: Software,26.0,6.0,10.0,
608,AO.com,Retail: Online,26.0,,,
609,Morrison & Foerster LLP,Law Firm,26.0,,,
610,Organizer Inc.,Technology: Software,26.0,,,
611,Worldpay,Technology: Payments,26.0,,,
612,Zynga,Technology: Gaming,26.0,12.0,12.0,
613,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
614,72andsunny,Advertising,24.0,,4.0,
615,Motorola Mobility,Technology: Manufacturing,24.0,,,
616,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
617,ZestFinance,Finance: Loans,24.0,,,
618,World First,Services: Other,24.0,4.0,2.0,
619,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
620,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
621,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
622,Army (British),Government: Federal,39.0,13.0,2.0,
623,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
624,Zurich,Insurance: Life,29.0,,0.0,
625,Etsy,Technology: Consumer Internet,26.0,,26.0,
626,Spotify,Technology: Consumer Internet,26.0,,26.0,
627,Adobe Systems,Technology: Software,26.0,6.0,10.0,
628,AO.com,Retail: Online,26.0,,,
629,Morrison & Foerster LLP,Law Firm,26.0,,,
630,Organizer Inc.,Technology: Software,26.0,,,
631,Worldpay,Technology: Payments,26.0,,,
632,Zynga,Technology: Gaming,26.0,12.0,12.0,
633,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
634,72andsunny,Advertising,24.0,,4.0,
635,Motorola Mobility,Technology: Manufacturing,24.0,,,
636,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
637,ZestFinance,Finance: Loans,24.0,,,
638,World First,Services: Other,24.0,4.0,2.0,
639,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
640,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
641,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
642,Army (British),Government: Federal,39.0,13.0,2.0,
643,"Automattic, Inc.",Technology: Consumer Internet,32.0,0.0,,
644,Zurich,Insurance: Life,29.0,,0.0,
645,Etsy,Technology: Consumer Internet,26.0,,26.0,
646,Spotify,Technology: Consumer Internet,26.0,,26.0,
647,Adobe Systems,Technology: Software,26.0,6.0,10.0,
648,AO.com,Retail: Online,26.0,,,
649,Morrison & Foerster LLP,Law Firm,26.0,,,
650,Organizer Inc.,Technology: Software,26.0,,,
651,Worldpay,Technology: Payments,26.0,,,
652,Zynga,Technology: Gaming,26.0,12.0,12.0,
653,eBay Inc.,Technology: Consumer Internet,24.0,6.0,12.0,
654,72andsunny,Advertising,24.0,,4.0,
655,Motorola Mobility,Technology: Manufacturing,24.0,,,
656,Open Society Foundations,Philanthropy,24.0,,24.0,24.0
657,ZestFinance,Finance: Loans,24.0,,,
658,World First,Services: Other,24.0,4.0,2.0,
659,"Orrick, Herrington & Sutcliffe LLP",Law Firm,23.0,12.0,4.0,36.0
660,Netflix,Technology: Consumer Internet,52.0,0.0,52.0,0.0
661,Bill and Melinda Gates Foundation,Philanthropy,52.0,,52.0,2.0
